ï»¿web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554328476-3297,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@RiRaGeorgetown,RÃ_ RÃ¡ Georgetown,We think 2019 made you smarter......Come test the new year smarts out the right way with Tuesday Trivia tonight at 8:30 pm! #testyoursmartness #areyoustillagenius #triviatuesday #irishpub #publife #mstreet #georgetown pic.twitter.com/HzhMchWw9e,0,0,1,1.55E+12,1/1/2019 9:20,/RiRaGeorgetown/status/1080151676982620166
1554328476-3276,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@sweethearts1776,Sweethearts&Patriots,Excited to share a fabulous event in support of #sweetheartsandpatriots2019. Shop @LillyPulitzer in Georgetown on Monday 1/21 from 12-4pm (in store or by phone) and 10% of store sales will be donated to the Gala beneficiaries @davhq and @TerreFraternite. #resort2019 #georgetown pic.twitter.com/elV0PLdtwf,0,6,12,1.55E+12,1/4/2019 5:48,/sweethearts1776/status/1081185581521088512
1554328476-3202,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@DiTLevine,Dr Diane T Levine,"Single disciplines canâ€™t address the challenges of mental health and wellbeing in prisons alone. More than ever, weâ€™re going to have to work together. @leicsias @sysgak #Georgetown #interdisciplinaritypic.twitter.com/4SM38ixj4v",0,0,9,1.55E+12,3/30/2019 10:34,/DiTLevine/status/1112045380416475137
1554328476-3177,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@chrisgb002000,Chris Bennett (CB),Shaka should've taken the #Georgetown job last year https://twitter.com/clarencehilljr/status/1112873469971185665Â â€_,1,0,3,1.55E+12,4/1/2019 18:10,/chrisgb002000/status/1112884956110446593
1554328476-3258,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@bettinahansen,Bettina Hansen,A few  photos from #Georgetown in south #Seattle - comprehensive coverage of #seattlesnow here https://www.seattletimes.com/seattle-news/weather/winter-weather-returns-bringing-snow-south-through-region-sunday/Â â€_ #wawxpic.twitter.com/B7BnSDMTR8,1,7,48,1.55E+12,2/4/2019 13:56,/bettinahansen/status/1092542329452261376
1554328476-3294,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@HelpingLostPets,Helping Lost Pets,"#cats LOST #Georgetown ON,CA, Domestic Long Hair, Aug.16/17, http://www.helpinglostpets.com/petdetail/?id=1888196Â â€_",0,2,0,1.55E+12,1/1/2019 14:20,/HelpingLostPets/status/1080227387080691715
1554328476-3234,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@DrinkBODYARMOR,BODYARMOR,".@MikeTrout & Andrew Luck wouldnâ€™t do something outdated like a Disco Battleâ€_ so why would they drink an outdated sports drink? Thanks @Gatorade, weâ€™ll take it from here. #ObsessedWithBetterpic.twitter.com/BG2vHDLEdV",188,1.4K,4.9K,1.55E+12,3/27/2019 6:12,/DrinkBODYARMOR/status/1110892350514098176
1554328476-3173,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@DCamche,Dylan Camche,Finally got that shooting contest money. Wouldâ€™ve sacrificed it for the #georgetown win though. Thanks @SoFipic.twitter.com/ygaGBPwhcY,0,0,3,1.55E+12,3/30/2019 14:52,/DCamche/status/1112110309249089538
1554328476-3191,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@SqueakySays,Squeaky,@WindyWilson88 a tad sweaty in #Georgetown #Malaysiapic.twitter.com/Qppo9p7MUq,0,1,3,1.55E+12,4/2/2019 2:02,/SqueakySays/status/1113003720617320448
1554328476-3282,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@butlercollegian,Butler Collegian,"#Butler dropped its second straight game, with the #Georgetown loss forcing an 0-1 start to #BigEast play.

Here are three takeaways from the home loss.https://thebutlercollegian.com/?p=37054",0,1,2,1.55E+12,1/2/2019 18:20,/butlercollegian/status/1080650158449348610
