content,replies,retweets,favorites,published_date
"2020 has to be Better than 2019. 

Talking #USC recruiting with @InsideUSC @USC 

https://www.youtube.com/watch?v=Dfi6QE2epGEÂ â€_

Courtesy: 247 Sportspic.twitter.com/E6zyy188Zc",0,0,1,3/30/2019 9:17
#USC offers 2021 4 QB out of Dallas. No. 1 DUAL and No. 1 player in Texas. https://twitter.com/_prestonstone/status/1113203530951811074Â â€_,0,2,9,4/2/2019 15:30
Mick i an going through a crisis when DÃ¡il Ã‰ireann fucked me@over with corrupt bank debt #LPT #USC and no pay rise since 2008 as @EndaKennyTD said we canâ€™t have one,0,0,0,4/2/2019 9:53
"#USC loads the bases for second time today, but can't get a run across.

Trojans have left seven men on base in three innings. #UCLA leads 4-2.",0,0,3,3/31/2019 17:34
"Instant Analysis: #USC has made it halfway through spring camp, so what changes have we seen so far from the Trojans? 

Dan and I have the full report from Day 8
http://247sports.com/college/usc/Article/usc-spring-camp-practice-report-trojans-graham-harrell-clay-helton-130634196/Â â€_pic.twitter.com/drZCVnt8wR",2,8,42,3/28/2019 19:30
New #PeristylePodcast episode with @dweber3440 and @keelyismyname talking #USC spring football. Listen here: https://247sports.com/college/usc/Article/usc-trojans-spring-camp-football-graham-harrell-clay-helton-130592527/Â â€_pic.twitter.com/fpchV7LH7I,0,6,17,3/27/2019 17:28
"I made hex stickers for my #DSW cohort. Hoping they look as good as the proof from @stickermule! Squeee!
#SocialWork #SWTech #USC pic.twitter.com/37ddIcsAmB",2,0,6,3/27/2019 1:33
CTIP is hiring interns! #medtech visit us at the #USC Marshall internship Event today. pic.twitter.com/4UHLcL6BLk,0,3,4,3/26/2019 9:07
"As @PenguinOfTroy said on our pod this week (almost done editing), Lynn Swann not attending the #USC admin retreat because it'd make him breach the autograph show contract should've been leaked before the weekend. Would've shown awareness to the poor optics and been preemptive.",8,2,14,4/2/2019 16:02
#USC Price Deanâ€™s Speaker Series.  How Latinos in #CALIFORNIA Transformed Politics in America. The challenges to open Latino paths in politics. #powershift #BilingualServicesAct #USCLatinoAlumniAssociation #USCPricepic.twitter.com/KXPY8rObPR,0,1,4,4/1/2019 19:05
#IMGAcademy (FL) alum & #USC #Trojans early enrollee DB Briton Allen (@AllenBriton) at spring practicepic.twitter.com/YCP7YzNpkc,0,1,8,3/26/2019 11:34
Congratulations to the women leaders at @USCMarshall and the Marshall Graduate Women in Business for putting together a terrific #InternationalWomensDay Celebration. I was honored to join you this afternoon. Fight On! #USC #USCMarshallÂ #WomenInBusinesspic.twitter.com/T2luc6jjRM,1,8,57,2/28/2019 15:26
"I can't believe Bru McCoy would transfer! I can't believe Kliff Kingsbury would leave! I can't believe Chris Steele would decommit!
Welcome to the Helton era! #USC",56,98,440,1/24/2019 9:50
"#USC defensive end signee Drake Jackson makes a HUGE jump in the @247Sports final Top247 rankings, moving up more than 150 spots (FREE): 

https://247sports.com/college/usc/Article/USC-signee-defensive-end-Drake-Jackson-final-Top247-rankings-128211748/Â â€_pic.twitter.com/3hVrRiGrKz",2,19,91,1/23/2019 10:43
