•ÈÀweb-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554331201-3853,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@DMAnews1,U.S. Attorney MA,"Kyle Richards Accused of Bribing Her Daughters Way Into College ‰ÛÓ Shocked By Her Friend's Lori Loughlin's Arrest In #CollegeCheatingScandal! https://allaboutthetea.com/2019/03/14/kyle-richards-accused-of-college-bribery/åÊ‰Û_ 

 #LoriLoughlin #KyleRichards #RHOBHpic.twitter.com/eUiSkoNtEW",20,12,48,1.55E+12,3/14/2019 12:42,/DMAnews1/status/1110275937969541120
1554331201-3778,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@SubscriberWise,SubscriberWise,Two Stanford students are suing top universities because of the #CollegeCheatingScandal. https://twitter.com/i/events/1106193629201088512åÊ‰Û_,2,13,47,1.55E+12,3/14/2019 8:31,/SubscriberWise/status/1113291751236591616
1554331201-3783,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@shyftnetwork,Shyft,"Thanks Gov @GavinNewsom for the great conversation about the important education issues of the day: 
#EarlyLearning
#PreK4All
#AfterschoolPrograms
#K12Funding
#HigherEducation
#CollegeAffordability 
#AdmissionsScandal
#K2CSavingsAccounts
Let‰Ûªs focus on the future, our kids.pic.twitter.com/tne0LNLj8g",6,11,47,1.55E+12,3/26/2019 18:26,/shyftnetwork/status/1111625325706924032
1554331201-3878,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@PerezHilton,Perez Hilton,Does @PewDiePie bare any blame for the atrocity in #NewZealand? #LouisTomlinson's 18yo sister dies. Should her autopsy results be made public? #LoriLoughlin fired from #FullerHouse! Warranted? A warning to #LillySingh! And MORE! View this vid in full HERE: https://perezhilton.com/r-i-p-aunt-becky-piewdiepie-is-dangerous-be-careful-lilly-singh-and-perez-hilton/åÊ‰Û_pic.twitter.com/D8tYH6tGU2,14,6,47,1.55E+12,3/15/2019 17:27,/PerezHilton/status/1109855321713852419
1554331201-4138,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@CBS6,WTVR CBS 6 Richmond,"I get the impression that these ppl caught in #CollegeCheatingScandal 
Put more value on the prestige of the college than actual education. 
It‰Ûªs a facade 
These wealthy are empty vessels 
that don‰Ûªt value much more than possessions. It‰Ûªs becoming clear it‰Ûªs a major issue in USA",4,24,46,1.55E+12,3/14/2019 4:41,/CBS6/status/1112724313516507136
1554331201-3697,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@jhetterly,Jonathan Hetterly,"The next time someone tries to tell you that ‰ÛÏcollege isn‰Ûªt necessary for everyone‰Û, ask them why the richest and most powerful are so hellbent on getting _their_ kids through even the semblance of an education.
#PublicEducation 
#CollegeAdmissionScandal 
#CollegeAdmissionsScam pic.twitter.com/tZo2Yk3Rkf",2,20,46,1.55E+12,3/14/2019 18:12,/jhetterly/status/1112392388142686209
1554331201-3963,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@tonetalks,Antonio Moore,"#OperationVarsityBlues: Blatant Cheating, Privileged Elites, Certain Prison and Universal Outrage [VIDEO] #LionelNation #CollegeCheatingScandal
#CollegeAdmissionsScam #FelicityHuffman #LoriLoughlin #HillaryForPrison #ObamasTranscripts #Parity #Justicehttps://youtu.be/y8DXInepdqY",1,20,46,1.55E+12,3/16/2019 10:12,/tonetalks/status/1107187040393678848
1554331201-3714,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@THR,Hollywood Reporter,College Parents weekend. from @baltimoresun #CollegeCheatingScandal #collegescam #CollegeAdmissionScandal #Satire #cartoon #politicalcartoonspic.twitter.com/yNCfk8bpdW,0,17,46,1.55E+12,3/16/2019 20:12,/THR/status/1111354252406878210
1554331201-4231,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@TimRunsHisMouth,Tim Young,When life imitates art: Felicity Huffman's involvement in the #CollegeCheatingScandal is oddly similar to something her #DesperateHousewives character did in the first season of the series http://thr.cm/St5KAfåÊpic.twitter.com/n6oaRbPW5h,14,17,45,1.55E+12,3/14/2019 17:47,/TimRunsHisMouth/status/1105987666263318528
1554331201-3925,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@SheCompass,SheCompass,"If your biggest takeaway from the #CollegeCheatingScandal was that the IRS should have caught them:
1, They did (IRS-CI was involved, read PR & complaint); and
2, How much scrutiny, exactly, do you want to place on #nonprofit orgs (and where are those resources coming from)?
#tax",6,12,45,1.55E+12,3/18/2019 5:21,/SheCompass/status/1107986357824221184
